Target,Dataset,Mean_Expression,SD_Expression,Senescence_Correlation_r,Senescence_Correlation_p,N_Samples
CSPG4,GSE228066,0.2153,0.1632,0.229,0.130312,45
CD44,GSE228066,8.8859,0.4657,0.3549,0.016735,45
ICAM1,GSE228066,5.8336,0.6444,0.3387,0.022839,45
VCAM1,GSE228066,0.4382,0.5423,0.2686,0.074462,45
CD38,GSE228066,5.5636,0.865,0.3982,0.006754,45
EGFR,GSE228066,0.0065,0.0247,-0.1464,0.337283,45
CSPG4,GSE139358,0.1997,0.1921,0.6484,0.003608,18
CD44,GSE139358,6.42,0.7801,0.6925,0.001448,18
ICAM1,GSE139358,6.758,1.3202,-0.1992,0.428158,18
VCAM1,GSE139358,0.1442,0.2716,0.466,0.051276,18
CD38,GSE139358,2.9333,0.8872,0.7544,0.000298,18
EGFR,GSE139358,0.0775,0.0786,0.6351,0.004629,18
CSPG4,GSE182825,5.0135,0.5575,0.33,0.035128,41
CD44,GSE182825,7.1844,0.3093,0.2962,0.060084,41
ICAM1,GSE182825,5.1955,0.5268,0.6709,2e-06,41
VCAM1,GSE182825,5.0555,0.485,0.611,2.2e-05,41
CD38,GSE182825,4.6524,0.5439,0.2631,0.096559,41
EGFR,GSE182825,4.6128,0.5082,-0.0523,0.745536,41
