Dataset,Category,N,Mean,SD,Min,Max
GSE101766,4_Senescence_Validation,276,0.0,1.0348,-3.7097,1.7193
GSE112087,1_Bulk_Expansion,120,0.0,1.0348,-1.7976,1.9991
GSE122459,1_Bulk_Expansion,27,0.0,1.0348,-0.4905,5.0862
GSE135779,2_scRNA_Expansion,56,0.0,0.0,0.0,0.0
GSE139358,2_scRNA_Expansion,18,0.0,1.0348,-1.7186,1.3269
GSE155405,3_Tissue_Expansion,13,0.0,1.0348,-2.1909,1.6179
GSE162577,2_scRNA_Expansion,3,0.0,0.0,0.0,0.0
GSE163121_RAW,2_scRNA_Expansion,997,0.0,1.0348,-2.7979,5.8166
GSE174188,3_Tissue_Expansion,88,-0.0,0.0,-0.0,-0.0
GSE179633,2_scRNA_Expansion,30,0.0,0.0,0.0,0.0
GSE182825,3_Tissue_Expansion,41,0.0,1.0348,-2.2872,2.229
GSE200306,3_Tissue_Expansion,12,0.0,1.0348,-1.5704,1.634
GSE228066,1_Bulk_Expansion,45,0.0,1.0348,-3.1782,1.5682
GSE262856,4_Senescence_Validation,42,0.0,1.0348,-1.0822,1.6938
GSE266852_OES19443150_matrix.mtx,2_scRNA_Expansion,995,0.0,1.0348,-1.4991,1.6297
GSE294496,3_Tissue_Expansion,2,0.0,0.0,0.0,0.0
GSE297723,4_Senescence_Validation,6,0.0,1.0348,-1.643,0.9192
GSE36700,3_Tissue_Expansion,25,0.0,1.0348,-1.6996,1.9109
GSE72509,1_Bulk_Expansion,121,0.0,1.0348,-3.5347,1.3421
