Target,Dataset,N,Mean_Expr,Spearman_r,p_value,Significant
CSPG4,GSE228066,45,0.2153,0.229,0.130312,False
CD44,GSE228066,45,8.8859,0.3549,0.016735,True
ICAM1,GSE228066,45,5.8336,0.3387,0.022839,True
VCAM1,GSE228066,45,0.4382,0.2686,0.074462,False
CD38,GSE228066,45,5.5636,0.3982,0.006754,True
EGFR,GSE228066,45,0.0065,-0.1464,0.337283,False
CSPG4,GSE139358,18,0.1997,0.6484,0.003608,True
CD44,GSE139358,18,6.42,0.6925,0.001448,True
ICAM1,GSE139358,18,6.758,-0.1992,0.428158,False
VCAM1,GSE139358,18,0.1442,0.466,0.051276,False
CD38,GSE139358,18,2.9333,0.7544,0.000298,True
EGFR,GSE139358,18,0.0775,0.6351,0.004629,True
CSPG4,GSE182825,41,5.0135,0.33,0.035128,True
CD44,GSE182825,41,7.1844,0.2962,0.060084,False
ICAM1,GSE182825,41,5.1955,0.6709,2e-06,True
VCAM1,GSE182825,41,5.0555,0.611,2.2e-05,True
CD38,GSE182825,41,4.6524,0.2631,0.096559,False
EGFR,GSE182825,41,4.6128,-0.0523,0.745536,False
